##n,orderinfo,name,comment,z,x,y, pixmax,intensity,sdev,volsize,mass,,,, color_r,color_g,color_b
0, , ,, 47.000,1307.000,45.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 49.000,499.000,52.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 50.000,664.000,51.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 49.000,1419.000,69.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 46.000,1204.000,70.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 50.000,246.000,69.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 48.000,252.000,84.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 50.000,278.000,87.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 50.000,1374.000,86.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 57.000,484.000,93.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 45.000,1318.000,89.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 49.000,444.000,97.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 48.000,1437.000,94.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 46.000,1242.000,90.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 49.000,861.000,109.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 50.000,567.000,54.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 47.000,1459.000,63.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 47.000,1229.000,67.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 52.000,233.000,69.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 46.000,1386.000,75.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 46.000,1149.000,72.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 51.000,237.000,85.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 47.000,1170.000,97.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 47.000,1257.000,103.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 49.000,1292.000,101.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 52.000,738.000,52.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 52.000,716.000,57.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 52.000,412.000,53.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 52.000,398.000,54.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 46.000,1259.000,64.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 47.000,1429.000,60.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 58.000,639.000,66.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 52.000,685.000,67.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 47.000,1500.000,64.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 49.000,1370.000,66.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 49.000,1142.000,90.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 54.000,256.000,90.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 47.000,1408.000,101.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 49.000,1393.000,100.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 49.000,1127.000,101.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 51.000,1146.000,39.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 51.000,946.000,48.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 52.000,797.000,49.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 62.000,890.000,56.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 49.000,1365.000,55.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 50.000,1218.000,59.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 55.000,692.000,56.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 52.000,1177.000,51.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 47.000,1480.000,63.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 49.000,1532.000,61.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 52.000,1387.000,57.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 59.000,542.000,66.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 60.000,595.000,95.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 50.000,978.000,112.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 45.000,1097.000,31.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 51.000,1121.000,38.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 50.000,1203.000,54.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 51.000,1262.000,55.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 55.000,294.000,59.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 52.000,1098.000,59.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 50.000,1397.000,66.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 55.000,183.000,77.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 50.000,1210.000,84.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 62.000,396.000,86.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 51.000,1302.000,90.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 49.000,1469.000,96.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 53.000,1089.000,97.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 50.000,1325.000,99.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 52.000,1317.000,39.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 54.000,309.000,60.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
